Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,FUM
Christian McCaffrey,CAR,RB,64,7.1,183,2.9,20.3,1,17,1
Cordarrelle Patterson,OAK,WR,10,1.1,124,12.4,13.8,2,47,0
Corey Clement,PHI,RB,48,5.3,182,3.8,20.2,3,28,0
Corey Grant,JAX,RB,19,2.4,123,6.5,15.4,0,58,0
Curtis Samuel,CAR,WR,4,0.5,64,16,8,0,31,0
Dak Prescott,DAL,QB,26,3.2,195,7.5,24.4,4,21,0
Dalvin Cook,MIN,RB,74,18.5,354,4.8,88.5,2,33,1
Damien Williams,MIA,RB,19,2.4,46,2.4,5.8,0,9,0
Darren Sproles,PHI,RB,15,5,61,4.1,20.3,0,12,0
David Fluellen,TEN,RB,4,0.5,21,5.3,2.6,0,10,0
David Johnson,ARI,RB,11,11,23,2.1,23,0,6,1
DeAndre Washington,OAK,RB,33,4.1,95,2.9,11.9,1,11,1
DeMarco Murray,TEN,RB,95,11.9,391,4.1,48.9,2,75,1
Derek Carr,OAK,QB,10,1.2,19,1.9,2.4,0,15,2
Derrick Henry,TEN,RB,83,10.4,357,4.3,44.6,3,72,0
Deshaun Watson,HOU,QB,36,5.1,269,7.5,38.4,2,49,1
DeShone Kizer,CLE,QB,33,4.7,144,4.4,20.6,3,18,2
Devonta Freeman,ATL,RB,114,14.2,512,4.5,64,5,44,0
Devontae Booker,DEN,RB,18,3.6,83,4.6,16.6,1,26,0
Dion Lewis,NE,RB,58,7.2,271,4.7,33.9,2,31,0
D'Onta Foreman,HOU,RB,61,7.6,244,4,30.5,0,39,1
Doug Martin,TB,RB,73,14.6,254,3.5,50.8,2,27,0
Duke Johnson,CLE,RB,34,4.2,176,5.2,22,2,19,0
